age,workclass,fnlwgt,education,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,capital,income
25,Private,182227,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,-1579,<=50K
34,Private,196266,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,0,>50K
61,Private,149620,Some-college,Divorced,Other-service,Not-in-family,Black,Male,40,United-States,0,<=50K
32,Self-emp-inc,191385,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Male,77,United-States,0,<=50K
51,Self-emp-inc,254230,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,58,United-States,-1977,>50K
24,Private,326334,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,20,United-States,0,<=50K
45,Private,167617,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,0,<=50K
37,Private,127918,Some-college,Never-married,Transport-moving,Unmarried,White,Female,20,Puerto-Rico,0,<=50K
26,Private,186168,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,40,United-States,0,<=50K
29,Private,286634,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,0,>50K
47,Private,299508,HS-grad,Divorced,Tech-support,Unmarried,Black,Female,55,United-States,0,<=50K
38,Private,215392,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,White,Female,45,United-States,7298,>50K
69,Local-gov,286983,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,0,<=50K
29,Private,153475,11th,Divorced,Machine-op-inspct,Unmarried,White,Female,40,United-States,0,<=50K
45,Private,358886,12th,Married-civ-spouse,Adm-clerical,Husband,White,Male,50,United-States,2407,<=50K
51,Private,279337,Some-college,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,0,<=50K
45,Federal-gov,109209,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,45,United-States,0,<=50K
20,Private,262749,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,0,<=50K
39,Private,185099,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,48,United-States,0,>50K
38,Self-emp-not-inc,357962,9th,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0,<=50K
17,Private,191260,11th,Never-married,Other-service,Own-child,White,Male,10,United-States,594,<=50K
38,Private,111499,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,99,United-States,-1977,>50K
36,Private,286115,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,>50K
36,Private,186035,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,5178,>50K
45,Private,190482,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,76,United-States,0,<=50K
53,Federal-gov,218382,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,Black,Female,40,United-States,0,>50K
33,Private,189368,Some-college,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,0,>50K
26,Private,206721,Bachelors,Never-married,Sales,Own-child,White,Male,50,United-States,0,<=50K
37,Local-gov,136749,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,35,United-States,0,<=50K
20,Private,108887,Some-college,Never-married,Adm-clerical,Own-child,White,Female,25,United-States,0,<=50K
41,Private,187322,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,United-States,0,<=50K
35,Private,241001,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,44,United-States,0,<=50K
22,Private,65225,10th,Never-married,Other-service,Own-child,White,Female,40,United-States,0,<=50K
27,Private,96718,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,39,United-States,0,<=50K
63,Self-emp-not-inc,33487,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,<=50K
41,Private,243607,5th-6th,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,Mexico,0,<=50K
40,Private,56651,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,0,<=50K
37,Private,87757,Assoc-acdm,Never-married,Exec-managerial,Not-in-family,White,Male,45,United-States,0,<=50K
70,Private,304570,Bachelors,Widowed,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Male,32,Philippines,0,<=50K
39,Private,98975,Bachelors,Never-married,Sales,Not-in-family,White,Female,50,United-States,8614,>50K
19,Private,220101,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0,<=50K
42,Private,310632,Some-college,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,0,>50K
28,Federal-gov,19522,Some-college,Never-married,Tech-support,Unmarried,Amer-Indian-Eskimo,Female,40,United-States,0,<=50K
21,Private,253583,11th,Never-married,Handlers-cleaners,Own-child,White,Male,45,United-States,0,<=50K
30,Private,247156,HS-grad,Never-married,Transport-moving,Own-child,Black,Male,40,United-States,0,<=50K
67,?,137894,Bachelors,Widowed,?,Not-in-family,White,Female,16,United-States,0,>50K
52,Self-emp-inc,49069,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,0,>50K
19,Private,93518,Some-college,Never-married,Sales,Own-child,White,Female,20,United-States,0,<=50K
59,Federal-gov,43280,Some-college,Never-married,Exec-managerial,Own-child,Black,Female,40,United-States,0,<=50K
53,Private,203967,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,0,<=50K
35,Self-emp-inc,79586,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,India,0,>50K
34,Private,213722,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,0,<=50K
40,Local-gov,150755,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,75,United-States,99999,>50K
20,Private,225811,HS-grad,Never-married,Sales,Own-child,White,Female,23,United-States,0,<=50K
22,Private,221480,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,0,<=50K
46,State-gov,222374,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,43,United-States,0,>50K
20,Private,196643,Some-college,Never-married,Other-service,Own-child,White,Male,20,United-States,0,<=50K
29,Self-emp-not-inc,183151,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,48,United-States,0,<=50K
19,?,170125,Some-college,Never-married,?,Own-child,White,Male,25,United-States,0,<=50K
80,Self-emp-not-inc,101771,11th,Married-civ-spouse,Exec-managerial,Husband,White,Male,25,United-States,0,<=50K
51,Private,219599,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,40,United-States,0,<=50K
23,?,194096,Some-college,Never-married,?,Own-child,White,Female,30,United-States,0,<=50K
44,Private,205822,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,0,>50K
17,Private,159849,11th,Never-married,Protective-serv,Own-child,White,Female,30,United-States,0,<=50K
56,Private,229335,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0,<=50K
59,Private,328525,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,15,United-States,2414,<=50K
17,Private,67444,11th,Never-married,Other-service,Other-relative,Black,Male,20,United-States,0,<=50K
40,Private,164678,Assoc-acdm,Divorced,Prof-specialty,Unmarried,White,Female,32,United-States,0,<=50K
22,Private,33087,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,45,United-States,0,<=50K
33,Private,29144,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,0,>50K
37,Private,335716,HS-grad,Divorced,Sales,Unmarried,White,Female,40,United-States,0,<=50K
22,Private,140001,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,0,<=50K
39,Private,103456,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,0,>50K
29,Private,36440,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0,<=50K
39,Private,187098,Prof-school,Married-civ-spouse,Exec-managerial,Wife,White,Female,47,United-States,15024,>50K
40,Self-emp-inc,266047,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,65,United-States,0,>50K
65,?,224357,Some-college,Married-civ-spouse,?,Husband,White,Male,4,United-States,2290,<=50K
90,Private,52386,Some-college,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,35,United-States,0,<=50K
33,Private,186824,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,<=50K
53,Private,194259,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,4386,>50K
26,Private,391349,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,0,>50K
28,Private,141350,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,0,<=50K
38,Private,175665,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,0,<=50K
34,Private,130021,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,48,United-States,0,<=50K
52,Self-emp-inc,51048,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,0,<=50K
34,Private,293703,Some-college,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,Philippines,0,<=50K
57,Private,257046,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,<=50K
63,?,316627,10th,Married-civ-spouse,?,Husband,White,Male,10,United-States,0,<=50K
18,Private,172076,Some-college,Never-married,Other-service,Own-child,White,Female,25,United-States,0,<=50K
40,Private,75615,HS-grad,Married-civ-spouse,Sales,Husband,Black,Male,43,United-States,0,<=50K
32,Private,204742,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0,>50K
54,Private,279337,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,<=50K
54,Self-emp-not-inc,103179,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,60,United-States,0,>50K
38,Self-emp-inc,206951,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,65,United-States,0,<=50K
42,?,257780,11th,Married-civ-spouse,?,Husband,White,Male,15,United-States,0,<=50K
54,Local-gov,116428,10th,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,0,<=50K
26,Self-emp-not-inc,213258,HS-grad,Divorced,Farming-fishing,Unmarried,White,Male,65,United-States,0,<=50K
34,Private,191957,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,United-States,0,>50K
31,Self-emp-not-inc,209213,HS-grad,Never-married,Sales,Not-in-family,Black,Male,40,?,0,<=50K
20,Private,137618,Some-college,Never-married,Transport-moving,Own-child,White,Male,35,United-States,0,<=50K
55,Private,349910,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,45,United-States,0,>50K
23,Private,161478,Some-college,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,40,United-States,0,<=50K
26,Local-gov,104614,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,40,United-States,0,<=50K
26,Private,139992,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,0,<=50K
61,Federal-gov,294466,Some-college,Divorced,Adm-clerical,Not-in-family,Black,Female,40,United-States,0,<=50K
47,Private,115358,HS-grad,Divorced,Machine-op-inspct,Not-in-family,Black,Female,40,United-States,0,<=50K
23,Private,199586,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,0,<=50K
51,Self-emp-not-inc,256963,Some-college,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,0,<=50K
52,Private,416059,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40,United-States,0,>50K
59,Private,142182,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,0,>50K
21,Private,277530,HS-grad,Never-married,Exec-managerial,Own-child,White,Female,40,United-States,0,<=50K
23,Private,52262,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,<=50K
46,Private,123598,Some-college,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,0,>50K
52,Private,157413,1st-4th,Divorced,Farming-fishing,Not-in-family,Black,Male,40,United-States,0,<=50K
49,Private,191277,Assoc-voc,Divorced,Craft-repair,Own-child,White,Male,30,Thailand,0,<=50K
42,Self-emp-inc,123838,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,-1977,>50K
33,Self-emp-not-inc,94041,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,30,United-States,-1974,<=50K
30,Private,197947,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,40,Puerto-Rico,0,<=50K
38,Private,170174,10th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,0,>50K
35,Private,141896,12th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,<=50K
32,Private,136331,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,-1887,>50K
34,Private,213887,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,<=50K
29,Private,265638,Some-college,Never-married,Other-service,Unmarried,Black,Female,40,United-States,0,<=50K
28,Private,183151,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,0,<=50K
42,Private,180019,HS-grad,Never-married,Other-service,Not-in-family,White,Female,65,United-States,0,<=50K
24,Private,103064,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,40,United-States,3674,<=50K
48,Private,98524,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,0,<=50K
50,Private,269095,Bachelors,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,0,>50K
23,Private,129767,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,-1721,<=50K
31,Private,382368,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,<=50K
45,Private,100651,HS-grad,Divorced,Other-service,Not-in-family,White,Male,40,United-States,-1980,<=50K
32,Private,419691,12th,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,0,>50K
63,Private,221072,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,49,?,0,<=50K
28,Private,60288,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,0,<=50K
66,?,186030,7th-8th,Married-civ-spouse,?,Husband,White,Male,32,United-States,0,<=50K
24,Private,211968,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,40,United-States,0,<=50K
30,Private,387521,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,7298,>50K
61,Private,149981,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,5,United-States,2414,<=50K
38,Private,166416,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,0,<=50K
51,State-gov,172281,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,35,United-States,0,>50K
35,Private,187089,Assoc-voc,Married-civ-spouse,Exec-managerial,Wife,White,Female,42,United-States,0,>50K
63,Private,135339,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,40,Vietnam,2105,<=50K
65,?,240857,Bachelors,Married-civ-spouse,?,Husband,White,Male,40,United-States,-2377,>50K
23,Private,273049,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,20,United-States,0,<=50K
23,Private,50411,HS-grad,Never-married,Craft-repair,Own-child,White,Male,40,United-States,0,<=50K
34,Self-emp-inc,157466,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,0,<=50K
46,Private,113806,12th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,?,7298,>50K
37,Private,224886,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,42,United-States,0,<=50K
40,State-gov,50093,Masters,Divorced,Prof-specialty,Unmarried,White,Female,20,United-States,0,<=50K
36,Private,93225,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0,<=50K
45,State-gov,50567,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,0,<=50K
28,Private,360224,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,0,<=50K
52,Private,163948,9th,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,0,>50K
26,Private,379246,Some-college,Never-married,Other-service,Not-in-family,White,Female,40,United-States,0,<=50K
19,?,57329,Some-college,Never-married,?,Own-child,White,Female,30,Japan,0,<=50K
23,Private,303121,Some-college,Never-married,Adm-clerical,Own-child,White,Male,30,United-States,0,<=50K
47,Self-emp-not-inc,20946,Bachelors,Divorced,Other-service,Not-in-family,White,Female,40,United-States,0,<=50K
70,?,336007,5th-6th,Married-civ-spouse,?,Husband,White,Male,20,United-States,0,<=50K
20,Private,224238,12th,Never-married,Craft-repair,Own-child,White,Male,40,United-States,0,<=50K
25,?,181528,HS-grad,Married-civ-spouse,?,Wife,White,Female,25,United-States,0,<=50K
59,Private,159937,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,0,<=50K
41,Private,150755,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,Canada,15024,>50K
59,Private,201159,12th,Widowed,Machine-op-inspct,Other-relative,White,Female,48,United-States,0,<=50K
47,Private,187308,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,0,>50K
23,Private,186813,HS-grad,Never-married,Protective-serv,Own-child,Amer-Indian-Eskimo,Male,40,United-States,0,<=50K
38,Private,112561,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,0,>50K
39,Private,182189,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,65,United-States,-1887,>50K
31,Private,257644,11th,Never-married,Transport-moving,Unmarried,White,Male,40,United-States,0,<=50K
41,Private,183105,HS-grad,Separated,Machine-op-inspct,Unmarried,White,Female,44,Cuba,0,<=50K
34,Private,37646,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,65,United-States,0,<=50K
28,Private,164170,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,40,India,0,<=50K
33,Private,323619,Some-college,Never-married,Adm-clerical,Unmarried,White,Female,40,United-States,0,<=50K
39,Self-emp-not-inc,193026,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,0,>50K
54,State-gov,239256,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,0,<=50K
34,Private,139890,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,0,<=50K
44,Local-gov,113597,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,<=50K
41,Private,182108,Doctorate,Never-married,Machine-op-inspct,Not-in-family,White,Female,40,United-States,0,>50K
52,Self-emp-not-inc,175029,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,0,<=50K
31,Private,250087,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,0,>50K
42,Self-emp-not-inc,152889,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,52,United-States,0,<=50K
57,Private,200453,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,15024,>50K
59,Private,157932,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,<=50K
36,Private,206951,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,-1902,>50K
47,Local-gov,154940,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,45,United-States,0,>50K
37,Federal-gov,187046,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0,>50K
60,?,188236,HS-grad,Divorced,?,Not-in-family,White,Female,40,United-States,0,<=50K
59,Private,164970,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Black,Male,60,United-States,0,<=50K
35,Private,30529,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,0,<=50K
23,Private,117789,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,0,<=50K
29,Private,168470,HS-grad,Never-married,Transport-moving,Own-child,White,Male,40,United-States,0,<=50K
30,Private,233433,HS-grad,Never-married,Sales,Own-child,White,Female,45,United-States,0,<=50K
61,Private,224699,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,30,United-States,0,>50K
73,Private,39212,HS-grad,Widowed,Other-service,Not-in-family,White,Female,20,United-States,0,<=50K
25,Private,226891,Assoc-voc,Never-married,Other-service,Other-relative,Asian-Pac-Islander,Female,40,?,0,<=50K
47,Private,323212,HS-grad,Widowed,Other-service,Not-in-family,White,Female,40,United-States,0,<=50K
49,Self-emp-not-inc,111066,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,0,>50K
48,Self-emp-not-inc,370119,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,0,>50K
29,Private,250819,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0,<=50K
48,Federal-gov,166634,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,7688,>50K
21,State-gov,155818,Some-college,Never-married,Other-service,Own-child,White,Female,25,United-States,0,<=50K
46,State-gov,30219,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,38,United-States,7688,>50K
30,Private,39150,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,0,<=50K
27,Private,29732,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,36,United-States,4865,<=50K
35,Private,222989,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,30,United-States,0,<=50K
19,Private,255161,HS-grad,Never-married,Sales,Own-child,White,Male,25,United-States,0,<=50K
27,Private,199998,HS-grad,Divorced,Craft-repair,Unmarried,White,Female,32,United-States,0,<=50K
30,Private,284629,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,0,<=50K
17,Private,202344,10th,Never-married,Other-service,Own-child,White,Male,25,United-States,0,<=50K
33,Local-gov,115488,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,0,<=50K
23,Private,240160,Assoc-acdm,Never-married,Prof-specialty,Own-child,White,Male,40,United-States,0,<=50K
23,Private,208946,Some-college,Never-married,Adm-clerical,Own-child,White,Male,32,United-States,0,<=50K
42,Private,384236,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,7688,>50K
36,Private,207789,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,52,United-States,0,<=50K
55,Private,451603,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,40,United-States,0,<=50K
57,Self-emp-not-inc,105824,11th,Married-civ-spouse,Farming-fishing,Husband,White,Male,99,United-States,0,<=50K
56,Private,103948,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,0,<=50K
19,Private,56750,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,30,United-States,0,<=50K
28,Private,192591,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,45,United-States,0,<=50K
24,Private,194630,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,35,United-States,0,<=50K
30,Self-emp-not-inc,347166,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0,<=50K
25,State-gov,187508,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,0,<=50K
45,Private,102597,HS-grad,Widowed,Adm-clerical,Unmarried,White,Female,35,United-States,0,<=50K
35,Self-emp-inc,89622,Some-college,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,0,>50K
19,Private,111232,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,30,United-States,0,<=50K
55,State-gov,256984,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,40,United-States,0,<=50K
43,Private,111829,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,0,<=50K
41,Private,475322,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,35,United-States,-1617,<=50K
69,Self-emp-not-inc,187332,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,20051,>50K
60,?,386261,Bachelors,Married-spouse-absent,?,Unmarried,Black,Female,15,United-States,0,<=50K
23,Private,193949,Bachelors,Never-married,Sales,Own-child,White,Female,60,United-States,0,<=50K
60,Private,117909,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,7688,>50K
36,Private,447346,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,0,>50K
58,Private,218312,HS-grad,Divorced,Sales,Not-in-family,White,Male,40,United-States,0,<=50K
40,Private,53956,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,0,<=50K
35,Private,267891,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,38,United-States,0,<=50K
31,Private,266126,HS-grad,Never-married,Other-service,Not-in-family,White,Female,30,United-States,0,<=50K
44,Private,174491,HS-grad,Widowed,Other-service,Unmarried,Black,Female,30,United-States,0,<=50K
24,Private,175183,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0,<=50K
45,Self-emp-inc,155664,5th-6th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,?,0,>50K
26,Local-gov,167261,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,0,<=50K
23,Private,455361,HS-grad,Never-married,Other-service,Not-in-family,White,Male,40,Guatemala,0,<=50K
51,Private,186303,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,0,>50K
67,?,165103,Bachelors,Married-civ-spouse,?,Husband,White,Male,50,United-States,-2174,>50K
35,Self-emp-not-inc,135020,Some-college,Married-civ-spouse,Sales,Husband,White,Male,75,United-States,0,>50K
47,Private,165937,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,United-States,0,>50K
44,Private,33105,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,40,United-States,0,<=50K
22,Private,187592,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,30,United-States,0,<=50K
44,Federal-gov,44822,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,<=50K
34,Private,182926,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,43,United-States,0,>50K
45,Private,265097,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,-1902,>50K
47,Self-emp-inc,248145,5th-6th,Married-civ-spouse,Transport-moving,Husband,White,Male,50,Cuba,0,<=50K
65,?,27012,7th-8th,Widowed,Farming-fishing,Unmarried,White,Female,50,United-States,0,<=50K
54,Private,175912,10th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,0,<=50K
67,Self-emp-not-inc,40021,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,35,United-States,0,<=50K
37,Private,277022,HS-grad,Never-married,Handlers-cleaners,Unmarried,White,Female,40,Nicaragua,3887,<=50K
26,Private,279833,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,45,United-States,-2258,>50K
45,Private,77085,Bachelors,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,Japan,0,>50K
59,Private,333270,Masters,Married-civ-spouse,Craft-repair,Wife,Asian-Pac-Islander,Female,35,Philippines,0,<=50K
49,Private,34446,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,0,<=50K
25,Local-gov,198813,Bachelors,Never-married,Adm-clerical,Other-relative,Black,Female,40,United-States,0,<=50K
35,Local-gov,145308,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,0,<=50K
57,Self-emp-inc,282913,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,Cuba,0,<=50K
26,Self-emp-not-inc,37023,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,78,United-States,0,<=50K
